year,month,location,total_money,total_discount_money,total_tip_money,transactions,identified_customers,square_unique_ids
2020,1,The Dram Shop Central,38285.45,1338.12,5258.57,2577,1267,1284
2020,1,The Dram Shop Front St.,49955.32,1885.71,6852.28,3740,1791,1818
2020,2,The Dram Shop Central,38478.74,2048.41,5036.4,2528,1271,1277
2020,2,The Dram Shop Front St.,54082.82,2792.86,7265.44,4133,2018,2042
2020,3,The Dram Shop Central,22433.91,834.14,2923.3,1466,769,777
2020,3,The Dram Shop Front St.,40163.13,1454.83,5294.71,2492,1291,1385
2020,4,The Dram Shop Central,7118.81,106.19,896.0,329,188,189
2020,4,The Dram Shop Front St.,34202.55,1090.62,4189.67,1097,367,606
2020,5,The Dram Shop Central,19149.65,668.95,2708.45,905,552,555
2020,5,The Dram Shop Front St.,41009.09,1045.45,5932.67,1919,1010,1110
2020,6,The Dram Shop Central,26951.82,998.53,3805.35,1308,793,793
2020,6,The Dram Shop Front St.,47033.86,1769.97,7045.08,2406,1371,1415
2020,7,The Dram Shop Central,25698.68,1351.19,3679.62,1293,734,736
2020,7,The Dram Shop Front St.,43077.13,1809.43,6258.56,2178,1195,1246
2020,8,The Dram Shop Central,31362.31,1566.95,4282.01,1526,900,905
2020,8,The Dram Shop Front St.,46174.24,1624.25,6952.99,2345,1327,1360
2020,9,The Dram Shop Central,29865.01,1524.57,3946.83,1453,839,842
2020,9,The Dram Shop Front St.,46181.58,1908.6,6838.93,2254,1277,1318
2020,10,The Dram Shop Central,26052.77,1473.01,3663.53,1271,777,784
2020,10,The Dram Shop Front St.,35188.78,1489.37,5266.15,1746,961,995
2020,11,The Dram Shop Central,25771.25,1601.33,3526.83,1248,719,722
2020,11,The Dram Shop Front St.,36430.01,1943.56,5083.07,1544,728,788
2020,12,The Dram Shop Central,35989.01,2072.02,4864.03,1514,892,896
2020,12,The Dram Shop Front St.,48213.7,2610.03,6003.0,1745,887,949
2021,1,The Dram Shop Central,31045.81,1391.82,4437.38,1421,808,812
2021,1,The Dram Shop Front St.,39009.2,2133.43,6014.38,1911,1008,1037
2021,2,The Dram Shop Central,35123.86,1517.19,4918.3,1478,826,829
2021,2,The Dram Shop Front St.,39298.47,1813.73,5944.7,1746,978,1025
2021,3,The Dram Shop Central,41275.48,1823.73,5921.46,1863,1052,1055
2021,3,The Dram Shop Front St.,41722.9,2034.86,6420.02,2127,1211,1224
2021,4,The Dram Shop Central,39687.73,1372.19,6038.92,1887,1131,1135
2021,4,The Dram Shop Front St.,45253.29,1915.97,6909.51,2378,1387,1403
2021,5,The Dram Shop Central,38107.69,1661.7,5707.64,2034,1146,1154
2021,5,The Dram Shop Front St.,42090.88,1679.39,6477.77,2508,1485,1496
2021,6,The Dram Shop Central,36684.59,1828.27,5405.61,2128,1195,1198
2021,6,The Dram Shop Front St.,47251.28,2651.67,7114.45,3046,1717,1723
2021,7,Catering - Dram Shop Front,3773.46,0.0,302.46,333,127,127
2021,7,The Dram Shop Central,39804.46,1407.4,5946.11,2258,1307,1312
2021,7,The Dram Shop Front St.,56056.94,2078.15,8727.09,3563,2053,2066
2021,8,Catering - Dram Shop Front,10576.0,0.0,0.0,5,2,2
2021,8,The Dram Shop Central,37763.25,1761.22,5773.22,2226,1221,1229
2021,8,The Dram Shop Front St.,50765.32,2515.14,7544.62,3357,1819,1830
2021,9,The Dram Shop Central,37288.83,1374.24,4973.07,2039,1139,1144
2021,9,The Dram Shop Front St.,41504.64,1675.4,6229.54,2763,1484,1494
2021,10,Catering - Dram Shop Front,311.4,0.0,42.4,30,16,17
2021,10,The Dram Shop Central,43886.81,1688.02,6365.58,2434,1284,1288
2021,10,The Dram Shop Front St.,43444.18,1793.38,6638.57,2786,1432,1442
2021,11,The Dram Shop Central,42039.96,1683.27,5974.98,2127,1191,1202
2021,11,The Dram Shop Front St.,43178.4,2605.57,6701.23,2376,1274,1283
2021,12,The Dram Shop Central,55344.08,1648.43,7591.51,2417,1295,1318
2021,12,The Dram Shop Front St.,46125.42,1924.28,6625.7,2541,1329,1338
2022,1,The Dram Shop Central,37250.41,1715.06,5763.22,2016,1095,1099
2022,1,The Dram Shop Front St.,33857.28,1452.03,5300.06,2154,1087,1088
2022,2,The Dram Shop Central,44281.42,1514.87,6340.29,2255,1283,1303
2022,2,The Dram Shop Front St.,43764.7,1617.99,6984.2,2766,1451,1463
2022,3,The Dram Shop Central,48438.06,2074.86,7470.17,2744,1468,1475
2022,3,The Dram Shop Front St.,46479.26,2299.33,7381.34,3168,1606,1618
2022,4,The Dram Shop Central,50500.03,1821.24,7817.77,2844,1543,1550
2022,4,The Dram Shop Front St.,54671.36,2415.85,8916.98,3661,1887,1902
2022,5,Catering - Dram Shop Front,2358.89,0.0,12.5,31,2,9
2022,5,The Dram Shop Central,49325.13,2879.68,7525.22,2872,1512,1521
2022,5,The Dram Shop Front St.,46868.68,2358.35,7507.98,3159,1651,1669
2022,6,The Dram Shop Central,50079.39,1774.96,7094.47,2787,1524,1532
2022,6,The Dram Shop Front St.,48532.02,1787.03,7478.3,3282,1695,1708
2022,7,Catering - Dram Shop Front,2518.15,0.0,0.0,2,2,1
2022,7,The Dram Shop Central,43645.86,1168.83,6411.55,2593,1126,1440
2022,7,The Dram Shop Front St.,54671.27,1562.15,8354.61,3434,1281,1887
2022,8,The Dram Shop Central,40331.29,1178.58,5864.12,2303,1096,1283
2022,8,The Dram Shop Front St.,48596.2,1570.56,7366.76,3098,1257,1649
2022,9,The Dram Shop Central,41312.44,986.79,6165.12,2246,934,1271
2022,9,The Dram Shop Front St.,48532.58,1142.66,7584.25,3054,970,1749
2022,10,Catering - Dram Shop Front,5961.05,1.0,433.65,244,65,98
2022,10,The Dram Shop Central,43570.61,1360.59,6576.15,2397,1019,1349
2022,10,The Dram Shop Front St.,48789.41,1196.62,7200.99,2858,880,1564
2022,11,The Dram Shop Central,44449.43,1088.21,6731.47,2336,1046,1336
2022,11,The Dram Shop Front St.,46306.38,1582.82,6839.2,2484,854,1379
2022,12,The Dram Shop Central,57168.23,1197.52,8020.32,2849,1066,1542
2022,12,The Dram Shop Front St.,47203.85,1516.06,6887.18,2497,846,1379
2023,1,The Dram Shop Central,49570.96,980.99,7437.15,2609,998,1355
2023,1,The Dram Shop Front St.,43307.43,1069.11,6598.54,2494,873,1382
2023,2,The Dram Shop Central,50293.32,858.7,7751.73,2606,1145,1491
2023,2,The Dram Shop Front St.,45151.48,1122.68,7143.66,2520,980,1476
2023,3,The Dram Shop Central,58777.19,1184.44,9087.88,2959,1289,1673
2023,3,The Dram Shop Front St.,48094.96,1610.02,7371.48,2740,963,1494
2023,4,Catering - Dram Shop Front,344.1,0.0,31.1,30,4,11
2023,4,The Dram Shop Central,59060.42,1460.02,9024.44,3123,1320,1785
2023,4,The Dram Shop Front St.,56239.66,2184.22,8793.13,3376,1135,1858
2023,5,The Dram Shop Central,59075.66,1136.64,9241.8,2905,1221,1676
2023,5,The Dram Shop Front St.,53395.45,1239.64,8227.02,3230,1044,1743
2023,6,Catering - Dram Shop Front,4724.3,0.0,96.3,120,15,25
2023,6,The Dram Shop Central,51535.18,954.69,7774.37,2650,1172,1558
2023,6,The Dram Shop Front St.,57358.94,1284.81,8829.5,3408,1094,1938
2023,7,The Dram Shop Central,46296.44,893.05,7008.98,2419,969,1361
2023,7,The Dram Shop Front St.,55619.99,1677.68,8629.67,3127,965,1784
2023,8,Catering - Dram Shop Front,78.9,0.0,5.9,6,1,6
2023,8,The Dram Shop Central,50676.27,943.92,7563.84,2727,1114,1543
2023,8,The Dram Shop Front St.,58870.38,1343.85,8942.22,3298,1043,1879
2023,9,Catering - Dram Shop Front,574.1,8.8,33.9,17,9,9
2023,9,The Dram Shop Central,50650.29,955.08,7735.62,2490,1040,1377
2023,9,The Dram Shop Front St.,52076.81,1519.45,8280.64,3099,1037,1716
2023,10,Catering - Dram Shop Front,863.5,0.0,55.5,88,2,30
2023,10,The Dram Shop Central,52929.91,1689.14,8272.8,2688,944,1466
2023,10,The Dram Shop Front St.,56796.97,1871.55,8906.02,3052,881,1655
