year,month,cat_name,location,total_money,total_discount
2016,11,Wine - Draught,The Dram Shop Front St.,2505.98,113.02
2016,12,,The Dram Shop Front St.,7706.45,577.05
2016,12,Ambers/Pales - Bottled,The Dram Shop Front St.,78.75,2.25
2016,12,Ambers/Pales - Draught,The Dram Shop Front St.,3557.82,159.68
2016,12,Barley Wine - Bottled,The Dram Shop Front St.,12.25,0.0
2016,12,Belgian - Bottled,The Dram Shop Front St.,177.0,3.0
2016,12,Belgian - Draught,The Dram Shop Front St.,1600.93,63.07
2016,12,Big Beer - Draught,The Dram Shop Front St.,417.74,9.76
2016,12,Bottle Holiday,The Dram Shop Front St.,60.0,93.0
2016,12,Cider - Bottled,The Dram Shop Front St.,315.38,4.62
2016,12,Cider - Draught,The Dram Shop Front St.,3463.02,114.98
2016,12,Glassware,The Dram Shop Front St.,305.2,1.8
2016,12,Growlers,The Dram Shop Front St.,3513.91,122.09
2016,12,IPA - Bottled,The Dram Shop Front St.,50.25,0.0
2016,12,IPA - Draught,The Dram Shop Front St.,9881.42,410.08
2016,12,Kombucha,The Dram Shop Front St.,670.42,16.33
2016,12,Lagers/Pils/Wheat - Bottled,The Dram Shop Front St.,18.5,12.5
2016,12,Lagers/Pils/Wheat - Draught,The Dram Shop Front St.,2863.8,103.7
2016,12,Misc.,The Dram Shop Front St.,330.98,1.02
2016,12,Porters/Stouts - Bottled,The Dram Shop Front St.,306.58,4.42
2016,12,Porters/Stouts - Draught,The Dram Shop Front St.,5363.88,149.12
2016,12,Red Wine - Bottled,The Dram Shop Front St.,64.38,1.62
2016,12,Seasonal/Event,The Dram Shop Front St.,3186.8,109.2
2016,12,Snacks,The Dram Shop Front St.,214.51,4.99
2016,12,Soda - Bottled,The Dram Shop Front St.,8.0,0.0
2016,12,Soda - Draught,The Dram Shop Front St.,457.42,19.08
2016,12,Softgoods,The Dram Shop Front St.,365.0,29.0
2016,12,Sour - Bottled,The Dram Shop Front St.,440.87,20.13
2016,12,Sour - Draught,The Dram Shop Front St.,3454.87,51.38
2016,12,Sparkling Wine - Bottled,The Dram Shop Front St.,246.5,25.5
2016,12,Tastings,The Dram Shop Front St.,19.8,2.2
2016,12,White Wine - Bottled,The Dram Shop Front St.,28.5,10.0
2016,12,Wine - Bottled,The Dram Shop Front St.,555.95,31.05
2016,12,Wine - Draught,The Dram Shop Front St.,2569.91,59.09
2017,1,,The Dram Shop Front St.,2901.69,1214.31
2017,1,Ambers/Pales - Bottled,The Dram Shop Front St.,34.0,1.0
2017,1,Ambers/Pales - Draught,The Dram Shop Front St.,4019.39,241.86
2017,1,Barley Wine - Bottled,The Dram Shop Front St.,6.5,0.0
2017,1,Belgian - Bottled,The Dram Shop Front St.,38.0,20.0
2017,1,Belgian - Draught,The Dram Shop Front St.,1076.47,36.53
2017,1,Big Beer - Draught,The Dram Shop Front St.,305.1,0.65
2017,1,Cider - Bottled,The Dram Shop Front St.,212.71,1.29
2017,1,Cider - Draught,The Dram Shop Front St.,3368.61,131.14
2017,1,Glassware,The Dram Shop Front St.,73.2,32.8
2017,1,Growlers,The Dram Shop Front St.,1169.0,85.0
2017,1,IPA - Bottled,The Dram Shop Front St.,23.5,0.0
2017,1,IPA - Draught,The Dram Shop Front St.,11949.38,715.87
2017,1,Kombucha,The Dram Shop Front St.,863.1,21.15
2017,1,Lagers/Pils/Wheat - Bottled,The Dram Shop Front St.,36.0,0.0
2017,1,Lagers/Pils/Wheat - Draught,The Dram Shop Front St.,3230.53,210.22
2017,1,Misc.,The Dram Shop Front St.,93.0,0.0
2017,1,Porters/Stouts - Bottled,The Dram Shop Front St.,61.5,0.0
2017,1,Porters/Stouts - Draught,The Dram Shop Front St.,5759.93,273.82
2017,1,Red Wine - Bottled,The Dram Shop Front St.,268.45,31.55
2017,1,Seasonal/Event,The Dram Shop Front St.,3149.11,124.14
2017,1,Snacks,The Dram Shop Front St.,281.83,19.67
2017,1,Soda - Bottled,The Dram Shop Front St.,6.0,4.0
2017,1,Soda - Draught,The Dram Shop Front St.,326.38,26.37
2017,1,Softgoods,The Dram Shop Front St.,124.0,16.0
2017,1,Sour - Bottled,The Dram Shop Front St.,58.0,0.0
2017,1,Sour - Draught,The Dram Shop Front St.,2735.34,79.16
2017,1,Sparkling Wine - Bottled,The Dram Shop Front St.,30.6,3.4
2017,1,Tastings,The Dram Shop Front St.,450.8,2.2
2017,1,White Wine - Bottled,The Dram Shop Front St.,87.1,8.9
2017,1,Wine - Bottled,The Dram Shop Front St.,66.8,4.2
2017,1,Wine - Draught,The Dram Shop Front St.,3060.3,140.7
2017,2,,The Dram Shop Front St.,1703.71,407.04
2017,2,Ambers/Pales - Bottled,The Dram Shop Front St.,8.0,0.0
2017,2,Ambers/Pales - Draught,The Dram Shop Front St.,4526.39,259.61
2017,2,Barley Wine - Bottled,The Dram Shop Front St.,25.25,0.0
2017,2,Belgian - Bottled,The Dram Shop Front St.,251.1,64.9
2017,2,Belgian - Draught,The Dram Shop Front St.,1517.79,73.46
2017,2,Big Beer - Bottled,The Dram Shop Front St.,24.0,0.0
2017,2,Big Beer - Draught,The Dram Shop Front St.,315.87,3.63
2017,2,Cider - Bottled,The Dram Shop Front St.,236.0,0.0
2017,2,Cider - Draught,The Dram Shop Front St.,3867.8,161.95
2017,2,Glassware,The Dram Shop Front St.,140.0,0.0
2017,2,Growlers,The Dram Shop Front St.,1002.37,7.63
2017,2,IPA - Bottled,The Dram Shop Front St.,54.25,2.75
2017,2,IPA - Draught,The Dram Shop Front St.,13009.46,577.29
2017,2,Kombucha,The Dram Shop Front St.,1031.34,23.41
2017,2,Lagers/Pils/Wheat - Bottled,The Dram Shop Front St.,80.91,1.09
2017,2,Lagers/Pils/Wheat - Draught,The Dram Shop Front St.,3751.84,178.66
2017,2,Misc.,The Dram Shop Front St.,185.0,0.0
2017,2,Porters/Stouts - Bottled,The Dram Shop Front St.,73.5,0.0
2017,2,Porters/Stouts - Draught,The Dram Shop Front St.,4804.55,244.45
2017,2,Red Wine - Bottled,The Dram Shop Front St.,243.0,27.0
2017,2,Seasonal/Event,The Dram Shop Front St.,1583.63,77.62
2017,2,Snacks,The Dram Shop Front St.,276.14,16.36
2017,2,Soda - Bottled,The Dram Shop Front St.,23.5,0.5
2017,2,Soda - Draught,The Dram Shop Front St.,422.42,5.58
2017,2,Softgoods,The Dram Shop Front St.,258.0,0.0
2017,2,Sour - Bottled,The Dram Shop Front St.,230.78,5.22
2017,2,Sour - Draught,The Dram Shop Front St.,2470.16,52.59
2017,2,Sparkling Wine - Bottled,The Dram Shop Front St.,34.75,4.25
2017,2,Tastings,The Dram Shop Front St.,480.0,4.0
2017,2,Wine - Bottled,The Dram Shop Front St.,416.2,45.8
2017,2,Wine - Draught,The Dram Shop Front St.,3072.65,38.35
2017,3,,The Dram Shop Front St.,4293.17,576.58
2017,3,Ambers/Pales - Bottled,The Dram Shop Front St.,22.5,0.0
2017,3,Ambers/Pales - Draught,The Dram Shop Front St.,4805.51,429.49
2017,3,Barley Wine - Bottled,The Dram Shop Front St.,36.25,0.0
2017,3,Belgian - Bottled,The Dram Shop Front St.,235.9,59.1
2017,3,Belgian - Draught,The Dram Shop Front St.,1156.45,53.05
2017,3,Big Beer - Bottled,The Dram Shop Front St.,18.0,0.0
2017,3,Big Beer - Draught,The Dram Shop Front St.,271.25,5.5
2017,3,Cider - Bottled,The Dram Shop Front St.,236.78,7.72
2017,3,Cider - Draught,The Dram Shop Front St.,6772.39,152.11
2017,3,Glassware,The Dram Shop Front St.,152.91,4.09
2017,3,Growlers,The Dram Shop Front St.,1155.53,0.47
2017,3,IPA - Bottled,The Dram Shop Front St.,78.0,0.0
2017,3,IPA - Draught,The Dram Shop Front St.,14181.3,690.2
2017,3,Kombucha,The Dram Shop Front St.,1301.19,28.56
