clean_item_name,year,month,location,total_sales,transactions,total_quantity_sold,average_base_price,median_base_price
Don't Think Twice Kolsch,2022,9,The Dram Shop Front St.,305.25,41,57.0,5.34,5.5
Double Black IPA,2022,9,The Dram Shop Central,124.63,15,19.0,6.61,7.0
Dramily Affair IPA,2022,9,The Dram Shop Front St.,270.96,41,47.0,5.94,5.5
Dream Vision Ale,2022,9,The Dram Shop Central,21.85,4,5.0,4.5,4.0
Dry Rose of Syrah,2022,9,The Dram Shop Central,507.13,47,61.0,8.52,8.5
Dry and Dandy Pet Nat 2021,2022,9,The Dram Shop Front St.,43.0,2,2.0,21.5,21.5
Duchesse de Bourgogne,2022,9,The Dram Shop Central,15.0,1,1.0,15.0,15.0
Ectoplasm IPA,2022,9,The Dram Shop Central,253.0,30,48.0,5.79,6.0
El Cantaro Tinto,2022,9,The Dram Shop Front St.,27.0,1,1.0,27.0,27.0
Entracte Rose,2022,9,The Dram Shop Central,405.21,33,48.0,8.62,8.0
Etna Rosso,2022,9,The Dram Shop Central,49.87,2,2.0,28.5,28.5
Farmhouse Table Beer,2022,9,The Dram Shop Central,230.02,38,43.0,5.43,5.5
Festbier,2022,9,The Dram Shop Front St.,504.58,70,86.0,5.93,6.5
Field to Ferment Fresh Hop,2022,9,The Dram Shop Front St.,43.63,11,12.0,4.27,4.0
Figaro,2022,9,The Dram Shop Central,9.75,1,1.0,13.0,13.0
Firetower Amber,2022,9,The Dram Shop Front St.,366.18,73,77.0,4.86,5.0
Fish On Juicy Pale,2022,9,The Dram Shop Front St.,312.15,46,58.0,5.43,5.0
Fitzgerald,2022,9,The Dram Shop Front St.,70.0,3,3.0,23.33,25.0
Flash Flood Milk Stout,2022,9,The Dram Shop Front St.,274.43,55,62.0,4.52,4.5
Flathead Cherry,2022,9,The Dram Shop Front St.,674.5,93,128.0,5.39,5.0
Flensburger Weizen,2022,9,The Dram Shop Front St.,12.41,3,3.0,4.17,3.5
Foeder #1 Kriek,2022,9,The Dram Shop Front St.,179.11,18,21.0,8.55,9.0
Four Quarters Phaze IPA,2022,9,The Dram Shop Central,22.0,4,4.0,5.5,5.5
Freedom Hill Vineyard Pinot Noir,2022,9,The Dram Shop Front St.,37.0,1,1.0,37.0,37.0
Fresh Hop 2022 Wanderjack,2022,9,The Dram Shop Central,71.12,7,11.0,6.93,7.5
Fresh Hop 2022 Wanderjack,2022,9,The Dram Shop Front St.,134.14,10,24.0,5.9,5.5
Fresh Squeezed IPA,2022,9,The Dram Shop Front St.,440.28,78,97.0,4.69,5.0
Friek,2022,9,The Dram Shop Central,123.0,11,11.0,11.18,8.0
Frisant Rosato,2022,9,The Dram Shop Central,20.0,1,1.0,20.0,20.0
From the Tank White,2022,9,The Dram Shop Front St.,453.85,50,62.0,7.72,7.0
Fruh Kolsch,2022,9,The Dram Shop Central,22.0,3,4.0,5.5,5.5
Galaxy Flare DIPA,2022,9,The Dram Shop Central,250.31,25,28.0,8.96,9.0
Gamay Noir,2022,9,The Dram Shop Front St.,42.88,2,2.0,24.5,24.5
Gaspard Rosé,2022,9,The Dram Shop Front St.,642.0,60,77.0,8.84,8.0
Grapefruit IPA,2022,9,The Dram Shop Front St.,38.75,8,9.0,4.5,4.75
Grapefruit IPA GF,2022,9,The Dram Shop Central,294.16,38,48.0,6.68,6.5
Grapefruit Radler,2022,9,The Dram Shop Central,22.0,3,4.0,5.5,5.5
Grapefruit Radler,2022,9,The Dram Shop Front St.,51.0,9,10.0,5.3,5.5
Grazing Clouds Hazy IPA,2022,9,The Dram Shop Central,2132.59,235,359.0,6.13,6.0
Grizzly Berry Hard Seltzer,2022,9,The Dram Shop Front St.,1.5,1,1.0,2.0,2.0
Gruner Veltliner,2022,9,The Dram Shop Front St.,13.95,1,1.0,15.5,15.5
Gruner Vetliner,2022,9,The Dram Shop Front St.,327.63,35,49.0,7.15,7.0
Gumberoo West Coast IPA,2022,9,The Dram Shop Front St.,177.66,27,30.0,6.28,6.5
Gurutzeta Sagardoa Basque Cider,2022,9,The Dram Shop Front St.,24.0,3,4.0,6.17,5.5
Harvestfest,2022,9,The Dram Shop Front St.,206.12,32,39.0,5.28,5.5
Hatch IPA,2022,9,The Dram Shop Front St.,42.0,7,7.0,6.0,6.0
Hazetopia Mango IPA,2022,9,The Dram Shop Front St.,478.28,86,96.0,5.07,5.0
Hazy-O!,2022,9,The Dram Shop Front St.,438.25,84,98.0,4.56,5.0
Head Full of Dynamite,2022,9,The Dram Shop Front St.,343.64,47,57.0,6.24,6.0
Head Full of Fresh Hops,2022,9,The Dram Shop Central,14.0,4,4.0,3.5,3.5
Head Full of Fresh Hops,2022,9,The Dram Shop Front St.,73.75,15,22.0,3.63,3.5
Hefeweizen,2022,9,The Dram Shop Central,81.75,12,13.0,6.29,6.5
Heinrich Zweigelt,2022,9,The Dram Shop Central,26.0,1,1.0,31.0,31.0
Hell Helles,2022,9,The Dram Shop Central,149.97,19,29.0,6.11,6.0
Hell Lager,2022,9,The Dram Shop Central,21.0,5,6.0,3.5,3.5
Hell Lager,2022,9,The Dram Shop Front St.,41.87,7,12.0,4.25,3.5
High Tide Baltic Porter,2022,9,The Dram Shop Central,127.5,11,17.0,7.61,7.0
Hokkaido Yamabiko Japanese Lager,2022,9,The Dram Shop Central,37.5,8,14.0,3.0,3.0
Hokkaido Yamabiko Japanese Lager,2022,9,The Dram Shop Front St.,111.5,19,42.0,3.11,3.0
Homegrown Farm Fresh Pale Ale,2022,9,The Dram Shop Front St.,3.75,1,1.0,5.0,5.0
Honey Cream Ale,2022,9,The Dram Shop Front St.,47.0,8,8.0,5.88,5.0
Hopnosis,2022,9,The Dram Shop Front St.,118.75,14,19.0,6.66,5.5
Hoptimum,2022,9,The Dram Shop Front St.,23.95,4,4.0,6.13,7.0
Hot Spot Blood Orange IPA,2022,9,The Dram Shop Central,573.86,79,99.0,5.9,5.5
Huckleberry Saison,2022,9,The Dram Shop Front St.,42.0,7,7.0,6.0,6.0
Hustle Double IPA,2022,9,The Dram Shop Front St.,5.5,2,2.0,3.0,2.0
IPA,2022,9,The Dram Shop Central,435.33,60,90.0,4.87,5.0
IPA,2022,9,The Dram Shop Front St.,492.39,82,94.0,5.43,5.5
Il Bianco Pet-Nat,2022,9,The Dram Shop Front St.,18.0,1,1.0,18.0,18.0
Il Rosso Lambrusco Emilia IGT,2022,9,The Dram Shop Central,13.88,1,1.0,18.5,18.5
Il Rosso Lambrusco Emilia IGT,2022,9,The Dram Shop Front St.,37.0,2,2.0,18.5,18.5
Imperial Pastry Porter,2022,9,The Dram Shop Central,12.5,2,2.0,6.25,6.25
In-A-Gadda-Da-Vidda,2022,9,The Dram Shop Front St.,20.25,1,1.0,27.0,27.0
Juicy Hazy Obsession,2022,9,The Dram Shop Front St.,244.25,39,47.0,5.18,5.5
Junegrass NW IPA,2022,9,The Dram Shop Central,34.81,7,9.0,4.04,3.75
Kellerbier,2022,9,The Dram Shop Central,382.5,43,61.0,6.49,6.0
Kelly Street Cider,2022,9,The Dram Shop Central,224.0,25,25.0,9.6,10.0
King Al DIPA,2022,9,The Dram Shop Central,23.66,3,4.0,6.0,6.0
King Al DIPA,2022,9,The Dram Shop Front St.,137.0,14,24.0,6.43,6.0
Kolsch,2022,9,The Dram Shop Front St.,1342.5,169,208.0,6.66,6.5
L'Oiselet,2022,9,The Dram Shop Central,16.5,1,1.0,22.0,22.0
L'Oiselet,2022,9,The Dram Shop Front St.,19.8,1,1.0,22.0,22.0
La Santa,2022,9,The Dram Shop Front St.,54.5,2,2.0,27.5,27.5
Lager Marzen,2022,9,The Dram Shop Central,113.75,16,18.0,6.5,6.5
Lang and Reed Cab Franc,2022,9,The Dram Shop Front St.,80.0,9,10.0,8.0,8.0
Le Père Jules Brut,2022,9,The Dram Shop Central,31.0,2,2.0,15.5,15.5
Legend,2022,9,The Dram Shop Central,394.05,61,85.0,5.07,5.0
Lello,2022,9,The Dram Shop Front St.,20.62,1,1.0,27.5,27.5
Les Cocettes,2022,9,The Dram Shop Central,34.0,1,1.0,34.0,34.0
Lovamor Blanco,2022,9,The Dram Shop Front St.,23.4,1,1.0,26.0,26.0
Love Pet-Nat,2022,9,The Dram Shop Central,55.1,2,2.0,29.0,29.0
Lucent Bond,2022,9,The Dram Shop Central,76.5,13,13.0,5.88,5.5
Lucille IPA,2022,9,The Dram Shop Central,665.08,97,141.0,4.96,5.0
Lush IPA,2022,9,The Dram Shop Central,260.24,44,54.0,5.31,5.0
Lychee Kozo,2022,9,The Dram Shop Front St.,53.16,10,13.0,4.7,4.5
Mac and Jack's African Amber,2022,9,The Dram Shop Central,10.0,3,4.0,2.67,2.0
Mandarin Wit,2022,9,The Dram Shop Central,239.1,39,49.0,4.88,5.0
Mango Agua Fresca,2022,9,The Dram Shop Front St.,433.19,54,67.0,6.73,6.5
Mango Lime Sour,2022,9,The Dram Shop Front St.,594.39,103,110.0,5.41,5.5
Marzen,2022,9,The Dram Shop Front St.,577.52,64,90.0,6.48,7.0
Masquerade DDH NE IPA,2022,9,The Dram Shop Front St.,441.17,53,61.0,7.51,7.5
Master Theory DIPA,2022,9,The Dram Shop Central,267.52,24,28.0,9.8,9.0
Merlito,2022,9,The Dram Shop Front St.,16.5,1,1.0,16.5,16.5
Merlot,2022,9,The Dram Shop Front St.,62.5,7,7.0,11.0,9.5
Meteor Shower Blonde,2022,9,The Dram Shop Central,40.5,3,10.0,4.58,5.25
Michael Plank Hefeweizen,2022,9,The Dram Shop Central,29.0,5,6.0,4.9,4.5
Michael Plank Hefeweizen,2022,9,The Dram Shop Front St.,66.43,10,13.0,5.5,4.5
Milk Truck Latte Stout,2022,9,The Dram Shop Central,329.25,58,69.0,4.82,5.0
Mind Haze,2022,9,The Dram Shop Front St.,515.37,76,96.0,5.43,5.5
Modelo Especial,2022,9,The Dram Shop Central,437.46,70,100.0,4.4,4.5
Modelo Especial,2022,9,The Dram Shop Front St.,631.71,109,144.0,4.4,4.5
Monks Cafe Flemish Sour,2022,9,The Dram Shop Central,3.5,1,1.0,3.5,3.5
Monks Cafe Flemish Sour Red,2022,9,The Dram Shop Front St.,27.0,6,6.0,4.5,3.5
Morphos Pet-Nat,2022,9,The Dram Shop Central,40.0,2,2.0,20.0,20.0
Mosaic SMaSH IPA,2022,9,The Dram Shop Front St.,180.9,31,39.0,4.92,5.0
Most,2022,9,The Dram Shop Front St.,44.0,7,8.0,5.5,5.5
Most Classic German Cider,2022,9,The Dram Shop Central,101.5,15,16.0,6.78,7.0
Most Classic German Cider,2022,9,The Dram Shop Front St.,293.53,40,44.0,6.83,7.0
Mountain Standard IPA,2022,9,The Dram Shop Central,27.5,4,6.0,4.58,5.0
Mountains Walking Barrel Aged Stout,2022,9,The Dram Shop Central,20.0,1,1.0,20.0,20.0
Muley Buck,2022,9,The Dram Shop Front St.,70.63,9,13.0,5.5,5.5
N'ice Chouffe Belgian Strong Dark Ale,2022,9,The Dram Shop Front St.,174.7,12,18.0,10.75,8.0
Nebbiolo Pian delle Mole,2022,9,The Dram Shop Front St.,30.0,1,1.0,30.0,30.0
Neon Giants,2022,9,The Dram Shop Central,19.25,4,4.0,5.5,5.5
Neozapatismo Marg. Gose,2022,9,The Dram Shop Front St.,81.0,9,9.0,9.0,9.0
Nitro Dark Star,2022,9,The Dram Shop Central,142.91,24,30.0,4.87,5.0
No Pressure No Diamonds,2022,9,The Dram Shop Front St.,529.66,55,70.0,8.1,7.5
Noyaux,2022,9,The Dram Shop Front St.,9.75,1,1.0,13.0,13.0
O.K Lager,2022,9,The Dram Shop Central,14.38,4,6.0,2.5,2.5
O.K. Lager,2022,9,The Dram Shop Front St.,20.0,6,8.0,2.5,2.5
Oaktoberfest,2022,9,The Dram Shop Central,290.32,44,52.0,5.7,5.5
Ocean Vibes DIPA,2022,9,The Dram Shop Central,42.5,4,7.0,7.0,6.0
Oktoberfest Festbier,2022,9,The Dram Shop Central,124.24,21,27.0,5.0,5.0
Oktoberfest Marzen,2022,9,The Dram Shop Central,76.03,10,14.0,5.5,5.5
Orange,2022,9,The Dram Shop Central,22.0,1,1.0,22.0,22.0
Orange Papaya American Sour,2022,9,The Dram Shop Central,191.25,24,27.0,7.22,7.5
Organic Rose Cider,2022,9,The Dram Shop Central,7.0,1,1.0,7.0,7.0
Origami Rose,2022,9,The Dram Shop Front St.,23.0,1,1.0,23.0,23.0
Oyster River Dry Cider,2022,9,The Dram Shop Front St.,9.5,1,1.0,9.5,9.5
Pash Rash Pet-Nat,2022,9,The Dram Shop Central,35.0,1,1.0,35.0,35.0
Passionfruit Sour,2022,9,The Dram Shop Central,201.72,28,35.0,6.07,6.0
Past Glimpse Sour Wheat,2022,9,The Dram Shop Front St.,196.25,32,36.0,5.61,5.5
Peach Apricot Sour,2022,9,The Dram Shop Front St.,103.03,15,17.0,6.24,5.5
Peach Wheat,2022,9,The Dram Shop Central,618.77,107,124.0,5.2,5.0
Pearfection,2022,9,The Dram Shop Central,697.65,127,160.0,4.36,4.5
Pegasus Saison,2022,9,The Dram Shop Front St.,341.87,66,70.0,4.91,5.0
Pet-Nat Rose',2022,9,The Dram Shop Central,387.96,29,40.0,9.73,9.5
Pet-Nat Rose',2022,9,The Dram Shop Front St.,399.1,35,51.0,8.31,8.5
Pet-Nat of Chardonnay,2022,9,The Dram Shop Central,38.0,4,5.0,11.6,9.5
Pettirosso Allegro Frizzante,2022,9,The Dram Shop Front St.,20.7,1,1.0,23.0,23.0
Photon Pale Ale,2022,9,The Dram Shop Front St.,54.12,9,9.0,6.17,5.5
Pilsner,2022,9,The Dram Shop Central,561.0,62,81.0,7.13,6.5
Pinot Noir,2022,9,The Dram Shop Central,780.74,52,87.0,9.14,8.0
Pinot Noir,2022,9,The Dram Shop Front St.,401.75,33,40.0,10.22,9.5
Plan de Dieu Cuvee des Galets,2022,9,The Dram Shop Central,69.0,3,3.0,23.0,23.0
Pomelo del Huerto,2022,9,The Dram Shop Central,16.12,1,1.0,21.5,21.5
Post Flirtation White,2022,9,The Dram Shop Front St.,25.5,1,1.0,25.5,25.5
Premium Pilsner,2022,9,The Dram Shop Front St.,194.6,29,38.0,5.84,6.0
President Camacho Hazy,2022,9,The Dram Shop Front St.,71.13,9,12.0,6.0,6.0
Prickly Pearadise,2022,9,The Dram Shop Front St.,174.87,29,37.0,4.75,4.5
Prosecco,2022,9,The Dram Shop Front St.,3.75,1,1.0,5.0,5.0
Pulaski Porter,2022,9,The Dram Shop Central,169.88,31,36.0,4.74,5.0
Punch,2022,9,The Dram Shop Front St.,121.33,11,19.0,6.63,6.0
"Quarticello ""Cioke"" Lambrusco",2022,9,The Dram Shop Front St.,18.75,1,1.0,18.75,18.75
Quirk Cherry Blossom & Lime Hard Seltzer,2022,9,The Dram Shop Front St.,569.19,92,124.0,4.82,5.0
Quirk Cherry Blossom & Lime Hard Seltzerw,2022,9,The Dram Shop Central,412.17,64,85.0,4.88,5.0
Quirk Hard Seltzer,2022,9,The Dram Shop Central,28.0,5,10.0,3.33,4.0
Quirk Hard Seltzer,2022,9,The Dram Shop Front St.,43.5,9,22.0,2.22,2.0
Ranch Hand,2022,9,The Dram Shop Central,6.0,2,3.0,2.0,2.0
Ranch Hand,2022,9,The Dram Shop Front St.,4.25,2,2.0,2.13,2.0
Ranch Hand Hard Cider,2022,9,The Dram Shop Central,12.75,2,3.0,4.25,4.25
Raspberry Dimension,2022,9,The Dram Shop Central,19.5,2,3.0,6.5,6.5
Raspberry Pistachio Pie,2022,9,The Dram Shop Front St.,45.0,4,6.0,7.5,7.5
Real Dry Cider,2022,9,The Dram Shop Front St.,100.0,15,20.0,5.0,5.0
Reissdorf Kölsch,2022,9,The Dram Shop Front St.,18.75,3,5.0,3.75,3.75
Richvale,2022,9,The Dram Shop Front St.,5.0,1,1.0,5.0,5.0
Riesling skin contact,2022,9,The Dram Shop Front St.,320.8,28,37.0,8.72,8.0
Rising Sun Espresso Porter,2022,9,The Dram Shop Central,236.75,37,39.0,6.07,5.5
Robot Panda Hazy IPA,2022,9,The Dram Shop Central,386.97,56,71.0,5.91,5.5
Robot Panda Hazy IPA,2022,9,The Dram Shop Front St.,3.5,1,1.0,3.5,3.5
Roger's Pilsner,2022,9,The Dram Shop Front St.,30.0,8,9.0,3.56,4.0
Rosato Giandon,2022,9,The Dram Shop Front St.,14.06,1,1.0,18.75,18.75
Rosee D'Hibiscus,2022,9,The Dram Shop Front St.,48.0,6,7.0,7.0,6.0
Rosso Barbera,2022,9,The Dram Shop Front St.,23.0,1,1.0,23.0,23.0
Rosé,2022,9,The Dram Shop Front St.,476.43,44,54.0,9.14,7.5
Running a Business,2022,9,The Dram Shop Front St.,18.38,1,1.0,24.5,24.5
Saison d'Erpe-Mere,2022,9,The Dram Shop Front St.,13.0,1,2.0,6.5,6.5
Samuel Smith Winter Welcome,2022,9,The Dram Shop Central,10.5,2,2.0,5.25,5.25
Sang Noir Bourbon Barrel Aged Red Ale,2022,9,The Dram Shop Front St.,13.0,1,1.0,13.0,13.0
Sangiovese Della Marche,2022,9,The Dram Shop Front St.,345.51,39,48.0,7.53,7.0
Sauvignon Blanc,2022,9,The Dram Shop Central,23.0,1,1.0,23.0,23.0
Sauvignon Blanc,2022,9,The Dram Shop Front St.,48.0,3,3.0,16.0,16.0
Sea Foam Pet-Nat,2022,9,The Dram Shop Front St.,23.0,1,1.0,23.0,23.0
Session IPA,2022,9,The Dram Shop Front St.,102.0,11,17.0,6.0,6.0
Sete Alimento Orange,2022,9,The Dram Shop Central,30.0,1,1.0,30.0,30.0
Shady NEIPA,2022,9,The Dram Shop Central,440.46,62,81.0,5.54,5.5
Shaka West Coast IPA,2022,9,The Dram Shop Central,7.0,2,2.0,3.5,3.5
Shakespeare Oatmeal Stout Nitro,2022,9,The Dram Shop Front St.,136.62,26,26.0,5.29,5.5
Show Pony,2022,9,The Dram Shop Front St.,63.0,2,2.0,36.0,36.0
Sidra Natural,2022,9,The Dram Shop Front St.,166.5,19,19.0,9.0,9.0
Sippin Pretty Sour,2022,9,The Dram Shop Front St.,17.75,4,5.0,4.0,3.5
Sky Bliss IPA,2022,9,The Dram Shop Front St.,44.0,7,7.0,6.29,6.0
Sky Kraken,2022,9,The Dram Shop Front St.,880.8,164,191.0,4.91,5.0
Sky Kraken Hazy Pale Ale,2022,9,The Dram Shop Central,18.0,4,7.0,2.5,2.0
Sky Kraken Hazy Pale Ale,2022,9,The Dram Shop Front St.,16.0,4,8.0,2.0,2.0
Small Axe,2022,9,The Dram Shop Front St.,99.0,15,18.0,5.47,6.0
Sour Brown Ale,2022,9,The Dram Shop Front St.,27.0,3,3.0,9.0,9.0
Sour Cherry,2022,9,The Dram Shop Central,90.0,16,18.0,5.0,5.0
Space Camper Cybersonic C-Hops DIPA,2022,9,The Dram Shop Front St.,811.27,140,170.0,4.86,5.0
Space Dust,2022,9,The Dram Shop Front St.,542.08,86,109.0,5.24,5.5
Space Goat,2022,9,The Dram Shop Front St.,45.0,8,10.0,4.5,4.5
Sparkling Chenin Blanc,2022,9,The Dram Shop Central,17.5,1,1.0,17.5,17.5
Sparkling Chenin Blanc,2022,9,The Dram Shop Front St.,35.0,2,2.0,17.5,17.5
Squib Cakes,2022,9,The Dram Shop Central,133.0,10,10.0,13.3,14.0
St. Bernardus Abt 12 Quadruple,2022,9,The Dram Shop Central,34.44,2,2.0,17.5,15.0
Staying Hoptimistic,2022,9,The Dram Shop Central,11.0,2,2.0,5.5,5.5
Stewart Loch Scottish Ale,2022,9,The Dram Shop Central,248.75,37,43.0,5.81,5.5
Stiegl Grapefruit Radler,2022,9,The Dram Shop Front St.,150.5,23,27.0,5.79,5.5
Strawberry Haze Forever,2022,9,The Dram Shop Central,467.94,63,78.0,6.22,6.0
Sub Rosso,2022,9,The Dram Shop Front St.,45.5,2,2.0,26.0,26.0
Summer Ale,2022,9,The Dram Shop Central,14.37,3,3.0,5.17,4.5
Summer Haze,2022,9,The Dram Shop Front St.,345.34,51,64.0,5.54,5.5
Summer Honey Grapefruit Raddler,2022,9,The Dram Shop Front St.,541.9,97,115.0,4.89,5.0
Super Glitzer,2022,9,The Dram Shop Front St.,30.0,1,1.0,30.0,30.0
Super Pils,2022,9,The Dram Shop Central,811.62,127,171.0,4.88,5.0
Super Shady NEIPA,2022,9,The Dram Shop Front St.,202.47,29,33.0,6.65,6.5
Sweep the Leg Triple IPA,2022,9,The Dram Shop Front St.,48.0,1,6.0,8.0,8.0
Sylvain Martinez Onis,2022,9,The Dram Shop Front St.,36.0,1,1.0,36.0,36.0
Tales of The Sun Pinot Noir,2022,9,The Dram Shop Central,312.4,6,15.0,22.0,22.0
Tank 7,2022,9,The Dram Shop Front St.,67.0,9,9.0,7.44,6.0
Tendu Vermentino,2022,9,The Dram Shop Central,427.75,32,42.0,10.66,9.5
Tepache,2022,9,The Dram Shop Central,15.0,2,3.0,5.0,5.0
Tepache,2022,9,The Dram Shop Front St.,9.88,2,2.0,5.0,5.0
Tete Blanche,2022,9,The Dram Shop Central,18.0,1,1.0,18.0,18.0
The Alter Red Blend,2022,9,The Dram Shop Front St.,18.0,1,1.0,18.0,18.0
The Jewel,2022,9,The Dram Shop Central,222.92,27,37.0,6.04,6.0
The Phlow,2022,9,The Dram Shop Central,242.38,31,44.0,5.91,5.5
The Shake Cider,2022,9,The Dram Shop Front St.,9.0,2,2.0,4.5,3.5
Thor Double IPA,2022,9,The Dram Shop Central,198.16,20,24.0,7.93,7.0
Three Otters Rose' of Pinot Noir,2022,9,The Dram Shop Front St.,575.3,48,61.0,9.69,9.5
Triple,2022,9,The Dram Shop Front St.,204.88,25,28.0,7.37,7.0
Tropical IPA,2022,9,The Dram Shop Central,135.48,20,27.0,5.18,5.0
Trossen Rot,2022,9,The Dram Shop Front St.,122.85,4,4.0,31.5,31.5
Twisted Paddle Pale Ale,2022,9,The Dram Shop Central,834.43,138,177.0,4.77,5.0
Union Jack IPA,2022,9,The Dram Shop Front St.,370.56,57,81.0,5.16,5.5
Unleashed Amber,2022,9,The Dram Shop Central,331.37,48,62.0,5.36,5.5
Valar Dohaeris Triple Ale,2022,9,The Dram Shop Front St.,16.5,1,1.0,16.5,16.5
Vej,2022,9,The Dram Shop Central,28.5,1,1.0,28.5,28.5
Vej Brut Sparkling Wine,2022,9,The Dram Shop Front St.,19.31,1,1.0,25.75,25.75
Vigilante IPA,2022,9,The Dram Shop Front St.,499.38,88,113.0,4.64,5.0
Vitis Noble Sour Wheat Ale,2022,9,The Dram Shop Front St.,192.5,12,15.0,13.0,14.0
Watchstander Stout,2022,9,The Dram Shop Central,6.5,1,1.0,6.5,6.5
Watermelon Rhubarb,2022,9,The Dram Shop Central,152.5,16,32.0,4.88,5.0
Weber Vineyard Pinot Gris,2022,9,The Dram Shop Front St.,51.0,2,2.0,25.5,25.5
Westmalle Tripel,2022,9,The Dram Shop Central,20.74,3,3.0,7.0,7.0
Where The Wild Hops Are IPA,2022,9,The Dram Shop Front St.,31.0,5,5.0,6.2,4.0
White Stout,2022,9,The Dram Shop Front St.,290.51,59,61.0,4.77,5.0
Wild Woods Syrah Barrel Aged Wild Ale,2022,9,The Dram Shop Central,84.0,4,4.0,21.0,21.0
Wildman Cider,2022,9,The Dram Shop Central,18.5,1,1.0,18.5,18.5
Wilson IPA,2022,9,The Dram Shop Front St.,16.0,7,7.0,2.29,2.0
Yamabiko Rice Lager,2022,9,The Dram Shop Central,409.84,72,94.0,4.84,5.0
Yden's Fermata BA Saison,2022,9,The Dram Shop Central,7.7,1,1.0,8.0,8.0
Yden's Fermata BA Saison,2022,9,The Dram Shop Front St.,39.56,5,5.0,8.4,8.0
You'll Get Nothing and Like It IPA,2022,9,The Dram Shop Front St.,16.0,3,7.0,2.67,2.0
Zweigelt,2022,9,The Dram Shop Front St.,19.5,1,1.0,19.5,19.5
Zymopunk Pilsner,2022,9,The Dram Shop Central,114.0,14,20.0,6.38,6.0
|Z Populis Sauvignon Blanc - 2022| Sauvignon Blanc | Populis | 2022 |,2022,9,The Dram Shop Central,20.0,1,1.0,20.0,20.0
'Huck' Pet Nat,2022,8,The Dram Shop Central,23.0,1,1.0,23.0,23.0
'Huck' Pet Nat,2022,8,The Dram Shop Front St.,20.7,1,1.0,23.0,23.0
41 Peaks IPA,2022,8,The Dram Shop Central,6.0,1,1.0,6.0,6.0
805 Cerveza,2022,8,The Dram Shop Central,387.28,60,82.0,5.1,5.0
Ace of Hearts Imperial Red Ale,2022,8,The Dram Shop Front St.,12.32,3,3.0,4.25,4.25
Agori White,2022,8,The Dram Shop Front St.,27.0,1,1.0,30.0,30.0
Agua Fresca,2022,8,The Dram Shop Central,372.0,42,55.0,7.06,7.0
All Day IPA,2022,8,The Dram Shop Central,364.33,61,80.0,4.62,4.5
All Day IPA,2022,8,The Dram Shop Front St.,429.25,79,92.0,4.66,4.5
Amber,2022,8,The Dram Shop Central,345.19,57,80.0,4.49,4.5
Amber,2022,8,The Dram Shop Front St.,221.25,31,38.0,5.64,5.5
Amber Sun,2022,8,The Dram Shop Front St.,314.1,52,60.0,5.33,5.0
Apples & Pears,2022,8,The Dram Shop Central,63.0,13,17.0,3.75,3.0
Apricot Hefe,2022,8,The Dram Shop Central,432.31,66,96.0,4.66,4.5
Archaic Lore,2022,8,The Dram Shop Central,576.83,89,99.0,6.14,6.0
Austrian Rose,2022,8,The Dram Shop Central,364.71,31,47.0,8.31,7.5
Ayinger Bräuweisse,2022,8,The Dram Shop Central,21.0,2,4.0,5.58,6.25
Azimut Cava Brut Nature,2022,8,The Dram Shop Central,16.5,1,1.0,16.5,16.5
BAM Berry Smoothie IPA,2022,8,The Dram Shop Front St.,374.0,40,51.0,7.31,7.5
Baksteenwinkel Saison,2022,8,The Dram Shop Front St.,268.23,19,25.0,11.25,9.0
Banshee Chardonnay,2022,8,The Dram Shop Central,319.97,26,35.0,9.5,9.5
Bavarian Pils,2022,8,The Dram Shop Front St.,143.31,23,25.0,6.0,6.0
Bitburger Pilsner,2022,8,The Dram Shop Central,31.0,7,9.0,3.57,3.0
Black Currant Cider,2022,8,The Dram Shop Front St.,49.0,5,7.0,7.0,7.0
Black Currant Sour,2022,8,The Dram Shop Front St.,636.08,105,124.0,5.24,5.0
Blackfoot Single Malt IPA,2022,8,The Dram Shop Central,1748.49,206,305.0,6.03,5.5
Blackfoot Single Malt IPA,2022,8,The Dram Shop Front St.,1748.31,237,304.0,5.93,5.5
Blue Verbena Sour Golden Ale,2022,8,The Dram Shop Front St.,4.95,1,1.0,5.5,5.5
Bodhizafa IPA,2022,8,The Dram Shop Central,774.23,119,164.0,4.89,5.0
Brave Noise NE Pale Ale,2022,8,The Dram Shop Central,9.5,2,2.0,4.75,3.75
Breakside Guava Sparkler,2022,8,The Dram Shop Front St.,88.6,17,22.0,4.71,4.0
Breakside IPA,2022,8,The Dram Shop Front St.,23.6,5,6.0,4.4,4.0
Brett The Viking Barrel Aged Sour,2022,8,The Dram Shop Front St.,27.5,1,1.0,27.5,27.5
Bring Back Pluto,2022,8,The Dram Shop Central,135.0,9,10.0,13.6,12.0
Brisat Orange,2022,8,The Dram Shop Central,129.25,10,14.0,10.25,9.5
Brisat Orange,2022,8,The Dram Shop Front St.,363.0,31,33.0,11.8,9.5
Brut Cidre,2022,8,The Dram Shop Central,586.75,64,81.0,7.46,7.0
Budike Weisse Himbeer Berlinerweisse,2022,8,The Dram Shop Front St.,5.18,1,1.0,5.75,5.75
Cabernet Sauvignon,2022,8,The Dram Shop Central,42.5,5,5.0,8.5,8.5
Cali Creamin' Creamsicle,2022,8,The Dram Shop Central,142.0,21,31.0,4.58,5.0
Cambuix Rose',2022,8,The Dram Shop Front St.,30.6,1,1.0,34.0,34.0
