clean_item_name,year,month,location,total_sales,transactions,total_quantity_sold,average_base_price,median_base_price
Cuvee De Jacobins - Flemish Rouge,2023,10,The Dram Shop Front St.,6.0,1,1.0,6.0,6.0
Cuvee Girard Chateauneuf du Pape,2023,10,The Dram Shop Front St.,46.8,1,1.0,52.0,52.0
Czech Pilsner,2023,10,The Dram Shop Central,53.34,9,10.0,5.35,5.5
Daisy Hill Kölsch,2023,10,The Dram Shop Front St.,65.5,13,16.0,4.53,4.0
Dark Star,2023,10,The Dram Shop Central,18.5,5,5.0,3.7,4.5
Dark Star,2023,10,The Dram Shop Front St.,15.0,5,6.0,2.5,2.5
De Achste Hond Peach Sour,2023,10,The Dram Shop Central,85.24,12,12.0,7.13,7.0
Dead Guy IPA,2023,10,The Dram Shop Central,30.0,4,6.0,6.0,6.0
Deer Snacks,2023,10,The Dram Shop Central,39.75,4,9.0,4.5,4.5
Dirt Church Hazy IPA,2023,10,The Dram Shop Front St.,6.75,3,3.0,2.25,2.25
Divine Design Hazy,2023,10,The Dram Shop Front St.,258.41,26,36.0,7.21,7.0
Divine Design Hazy IPA,2023,10,The Dram Shop Central,57.0,10,11.0,5.2,5.0
Domaine de Fondreche Ventoux,2023,10,The Dram Shop Front St.,24.0,1,1.0,24.0,24.0
Double Grazing Clouds Hazy IPA,2023,10,The Dram Shop Central,66.38,8,10.0,7.0,6.5
Double Grazing Clouds Hazy IPA,2023,10,The Dram Shop Front St.,94.12,7,14.0,7.25,6.5
Dragons Milk Imp. Stout,2023,10,The Dram Shop Front St.,309.02,41,46.0,7.13,7.0
Dry and Dandy Pet Nat,2023,10,The Dram Shop Central,22.0,1,1.0,22.0,22.0
Duchesse de Bourgogne,2023,10,The Dram Shop Central,24.0,1,2.0,12.0,12.0
Erdinger Hefeweizen Weissbier,2023,10,The Dram Shop Front St.,26.75,4,7.0,4.25,3.25
Estate Blend,2023,10,The Dram Shop Front St.,43.7,2,2.0,23.0,23.0
Experimental IPA #3,2023,10,The Dram Shop Front St.,49.0,6,8.0,6.5,7.0
Farmhouse with Strawberries,2023,10,The Dram Shop Central,315.0,25,26.0,12.37,13.0
Fat Robin,2023,10,The Dram Shop Central,364.5,48,59.0,6.4,6.5
Fat Robin,2023,10,The Dram Shop Front St.,6.5,1,1.0,6.5,6.5
Fiction Red Blend,2023,10,The Dram Shop Front St.,337.86,33,42.0,8.2,8.0
Field to Ferment Fresh Hop,2023,10,The Dram Shop Central,689.03,85,129.0,5.79,6.0
Field to Ferment Fresh Hop,2023,10,The Dram Shop Front St.,223.08,33,47.0,5.02,5.75
Finders Keepers,2023,10,The Dram Shop Central,465.79,36,44.0,10.49,11.0
For Me Rouge,2023,10,The Dram Shop Front St.,201.1,2,13.0,17.25,17.0
Fred's Raging Red,2023,10,The Dram Shop Front St.,86.43,15,16.0,5.56,6.0
Fresh AF Nero d'Avola,2023,10,The Dram Shop Central,0.0,1,1.0,23.0,23.0
Fresh Daisies,2023,10,The Dram Shop Front St.,278.66,45,53.0,5.37,6.0
Fresh Hop Bodhizafa,2023,10,The Dram Shop Central,232.38,25,31.0,8.0,7.5
Fresh Hop Bodhizafa,2023,10,The Dram Shop Front St.,484.43,58,87.0,5.86,6.0
Fresh Hop Overland IPA,2023,10,The Dram Shop Front St.,490.31,61,91.0,5.65,6.0
Fresh as it Gets,2023,10,The Dram Shop Front St.,480.8,65,94.0,5.27,6.0
From The Tank Red,2023,10,The Dram Shop Central,346.73,39,49.0,7.19,7.0
From The Tank Red,2023,10,The Dram Shop Front St.,122.23,13,19.0,7.0,7.0
From the Tank Rosé,2023,10,The Dram Shop Central,371.41,41,51.0,7.32,7.0
Fruh Kolsch,2023,10,The Dram Shop Central,35.08,8,9.0,4.25,3.5
Frukt Stereo Daft Frukt,2023,10,The Dram Shop Central,15.75,1,1.0,21.0,21.0
Frukt Stereo Daft Frukt,2023,10,The Dram Shop Front St.,184.3,1,9.0,24.33,26.0
Fujisan Pet-Nat,2023,10,The Dram Shop Central,46.0,1,1.0,46.0,46.0
Galipette Biologique Cidre,2023,10,The Dram Shop Front St.,8.0,2,2.0,4.0,4.0
Gamay Noir,2023,10,The Dram Shop Front St.,23.5,1,1.0,24.5,24.5
Gaspard Sauvignon Blanc,2023,10,The Dram Shop Front St.,198.0,1,9.0,27.5,30.0
Gerds Sour Ale with Raspberries,2023,10,The Dram Shop Central,20.0,1,1.0,20.0,20.0
Ginga Ninja,2023,10,The Dram Shop Front St.,188.0,24,33.0,5.81,6.0
Gosefish Hibiscus-Cranberry Gose,2023,10,The Dram Shop Front St.,13.0,2,2.0,6.5,5.5
Gourdeous Pumpkin Ale,2023,10,The Dram Shop Front St.,203.82,33,35.0,5.83,6.0
Grapefruit IPA,2023,10,The Dram Shop Central,49.5,7,10.0,5.5,5.5
Grapefruit IPA,2023,10,The Dram Shop Front St.,82.5,13,15.0,5.5,5.5
Grapefruit Radler,2023,10,The Dram Shop Central,9.0,2,2.0,4.5,3.5
Grapefruit Radler,2023,10,The Dram Shop Front St.,30.25,6,6.0,5.5,5.5
Graveyard Sun,2023,10,The Dram Shop Central,182.22,31,32.0,5.84,6.0
Grazing Clouds Hazy IPA,2023,10,The Dram Shop Central,1893.25,182,273.0,7.14,7.0
Great Gourds of Fire,2023,10,The Dram Shop Central,267.16,26,35.0,7.83,7.0
Gruner Veltliner,2023,10,The Dram Shop Front St.,70.0,4,4.0,17.5,16.0
Gruner Vetliner,2023,10,The Dram Shop Central,371.59,44,55.0,7.29,7.0
Gurutzeta Sagardoa Basque Cider,2023,10,The Dram Shop Front St.,44.3,7,7.0,6.36,5.5
Guímaro,2023,10,The Dram Shop Front St.,60.8,2,2.0,32.0,32.0
