customer_identifier,year,month,total_money,total_discount_money,total_tip_money,transactions
0GB8NCGVMX2H3D4ZJCGV9QCCZG,2020,7,64.0,0.0,3.0,4
0GB8NCGVMX2H3D4ZJCGV9QCCZG,2021,1,13.0,0.0,0.0,1
0GB8NCGVMX2H3D4ZJCGV9QCCZG,2021,3,13.25,0.0,1.0,1
0GB8NCGVMX2H3D4ZJCGV9QCCZG,2021,5,9.75,0.0,1.0,1
0GB8NCGVMX2H3D4ZJCGV9QCCZG,2021,6,11.0,0.0,0.0,1
0GB8NCGVMX2H3D4ZJCGV9QCCZG,2021,7,6.5,11.0,0.0,1
0GB8NCGVMX2H3D4ZJCGV9QCCZG,2021,12,49.0,0.0,6.5,3
0GB8NCGVMX2H3D4ZJCGV9QCCZG,2022,2,12.5,0.0,0.0,1
0GB8NCGVMX2H3D4ZJCGV9QCCZG,2022,3,13.0,0.0,0.0,1
0GB8NCGVMX2H3D4ZJCGV9QCCZG,2022,4,16.5,2.0,2.0,1
0GC3JTCPCS6XGHJ8H8G1MHCMK4,2018,8,12.5,0.0,3.0,1
0H5QA8VJKN2J19SDY0J5VZ294R,2022,7,30.0,0.0,8.0,1
0HG3RN89BS1DAY2509GQY0QEVR,2018,8,75.25,0.0,8.0,1
0HP2Z24TTX5TAKV7J6RVVQTM64,2016,6,35.5,0.0,6.0,1
0JW4Z2DG112A0SM20MBJ7FV27G,2019,2,95.5,0.0,25.0,2
0K640SXDES5R7A884W4GG37XVR,2022,12,24.5,0.0,4.0,1
0KB54811Y57K7B3320BSTCXZZW,2021,8,37.0,0.0,3.0,1
0KC22B9N8143AVDYZWEQTV71C0,2016,1,10.0,0.0,0.0,1
0KC22B9N8143AVDYZWEQTV71C0,2016,3,11.0,0.0,0.0,1
0KC22B9N8143AVDYZWEQTV71C0,2017,1,17.0,0.0,3.5,2
0KSSXJB9MNPRRFQSDDK9GYVR70,2023,7,21.0,0.0,4.0,1
0M5ZM9PGKD5YRW0Q50PZMXNB6R,2019,3,34.5,0.0,6.0,1
0MKT2KRF0D147947PS7SB9WV7G,2021,9,24.75,0.0,6.0,1
0N70G2XFRD5DPHF0X4THPHDWC0,2017,11,33.5,0.0,1.0,1
0NJ6QVMYTD5M8PW6H316EDY07R,2016,3,6.0,0.0,1.5,1
0NJ6QVMYTD5M8PW6H316EDY07R,2016,5,6.0,0.0,0.0,1
0NJ6QVMYTD5M8PW6H316EDY07R,2016,6,26.0,0.0,2.0,1
0NJ6QVMYTD5M8PW6H316EDY07R,2017,9,20.0,0.0,4.5,1
0NJ6QVMYTD5M8PW6H316EDY07R,2018,5,18.0,0.0,2.0,1
0NJ6QVMYTD5M8PW6H316EDY07R,2018,6,14.5,0.0,1.0,1
0NJ6QVMYTD5M8PW6H316EDY07R,2018,8,18.0,0.0,2.0,1
0NJ6QVMYTD5M8PW6H316EDY07R,2020,12,27.05,1.95,2.0,1
0NNE68QVE57VFF7K0Q2AX80T3W,2021,8,6.5,0.0,2.0,1
0NXFPDA4AH2XF6ZBG6DAZGGXG8,2020,12,28.0,0.0,1.0,1
0PKMZFWJGD5THFJGTFDGRDHC58,2018,9,11.0,0.0,1.0,1
0PKMZFWJGD5THFJGTFDGRDHC58,2019,8,10.5,0.0,1.0,1
0PKMZFWJGD5THFJGTFDGRDHC58,2019,11,12.0,0.0,2.0,1
0PKMZFWJGD5THFJGTFDGRDHC58,2020,8,22.5,0.0,2.0,1
0PKMZFWJGD5THFJGTFDGRDHC58,2020,9,12.0,0.0,1.0,1
0PKMZFWJGD5THFJGTFDGRDHC58,2021,9,19.0,0.0,1.0,1
0PKMZFWJGD5THFJGTFDGRDHC58,2021,11,16.0,0.0,1.0,1
0PKMZFWJGD5THFJGTFDGRDHC58,2022,1,45.0,0.0,0.0,1
0PNBXP53397BTGBKT0CX5CJRNM,2017,7,7.0,0.0,0.0,1
0PNBXP53397BTGBKT0CX5CJRNM,2017,11,10.0,0.0,1.0,1
0Q15JGQ8H5290XJYMMH0W09XD8,2016,1,6.0,0.0,1.0,1
0QVTPRQ0QH4074PETY175CGQT4,2022,3,37.0,0.0,6.0,1
0QVTPRQ0QH4074PETY175CGQT4,2023,2,27.5,0.0,4.0,1
0RSHS44XFD66CW347JPZP76GN8,2017,2,26.0,0.0,4.5,1
0RSHS44XFD66CW347JPZP76GN8,2017,5,46.5,0.0,6.0,1
0SBM3BS5K147ERTS0Y8QTRJPRM,2016,5,5.5,0.0,1.0,1
0T0M1QT16S0NGG1BSZMEGN2DSR,2016,7,10.0,0.0,0.0,1
0X3X1BXPJD5S8JQTB52SVK50WW,2018,5,17.0,0.0,3.0,1
0XCGZBAP413V1D54FSP477V3EM,2023,5,25.5,0.0,4.0,2
0XCGZBAP413V1D54FSP477V3EM,2023,8,16.0,0.0,2.0,1
0XW9SF113S6J11A8QNH8V9JSH0,2015,5,13.0,0.0,1.0,2
0XW9SF113S6J11A8QNH8V9JSH0,2015,12,7.0,0.0,1.0,1
0XW9SF113S6J11A8QNH8V9JSH0,2016,2,29.0,0.0,3.5,2
0XW9SF113S6J11A8QNH8V9JSH0,2016,3,20.0,0.0,2.5,1
0XW9SF113S6J11A8QNH8V9JSH0,2016,5,10.0,0.0,2.5,1
0XW9SF113S6J11A8QNH8V9JSH0,2017,2,7.0,0.0,1.0,1
0Y1F5559256HPHN9BB6A4G8RTM,2018,12,14.0,0.0,3.0,1
0Y4GPYP9F55C0ZH97E9C4KCJHG,2018,9,9.0,0.0,2.0,1
0Y4GPYP9F55C0ZH97E9C4KCJHG,2018,11,55.0,0.0,8.0,2
0Y4GPYP9F55C0ZH97E9C4KCJHG,2018,12,36.25,1.75,6.0,2
0Y4GPYP9F55C0ZH97E9C4KCJHG,2019,1,95.5,0.0,13.0,2
0Y4GPYP9F55C0ZH97E9C4KCJHG,2019,2,76.0,0.0,10.0,3
0Y4GPYP9F55C0ZH97E9C4KCJHG,2019,5,4.0,1.5,1.0,1
0Y4GPYP9F55C0ZH97E9C4KCJHG,2019,6,95.5,0.0,17.0,2
0YE39MQ18533348B1DYENSYRJR,2021,12,70.0,0.0,5.0,1
0YE39MQ18533348B1DYENSYRJR,2022,2,11.75,0.0,2.0,1
0ZZ25EHXJ528V7CMK4QKXDDC7G,2021,5,4.25,0.0,2.0,1
10J9WN3EHH09SEEP6KZ81G3TVW,2020,6,18.0,0.0,2.0,1
118WGBPBC5130XK57F41AE2XBM,2015,10,5.0,0.0,1.0,1
118WGBPBC5130XK57F41AE2XBM,2015,11,26.68,0.0,3.18,3
118WGBPBC5130XK57F41AE2XBM,2016,6,12.0,0.0,2.0,1
118WGBPBC5130XK57F41AE2XBM,2018,7,11.0,0.0,1.0,1
124P6EMD3D02VDAHKQBNKMAKRG,2021,7,7.7,0.0,1.2,1
127QXR9NZ929NDG0X5EYSH3CZW,2022,10,50.0,0.0,8.0,1
12CQEEN9KD5ATNEQP5KJFZW44R,2017,11,9.0,0.0,2.0,2
12YCH88RNS4VH3922X0PZYDDSW,2017,5,22.5,0.0,4.0,1
12YCH88RNS4VH3922X0PZYDDSW,2017,6,62.0,0.0,10.0,5
12YCH88RNS4VH3922X0PZYDDSW,2017,7,22.0,0.0,4.0,1
12YCH88RNS4VH3922X0PZYDDSW,2019,4,7.0,0.0,2.0,1
12YCH88RNS4VH3922X0PZYDDSW,2019,6,6.0,0.0,1.0,1
12YCH88RNS4VH3922X0PZYDDSW,2019,8,14.5,0.0,2.5,1
12YCH88RNS4VH3922X0PZYDDSW,2019,10,15.0,0.0,6.0,2
12YCH88RNS4VH3922X0PZYDDSW,2019,11,16.5,0.0,4.0,1
12YCH88RNS4VH3922X0PZYDDSW,2019,12,7.0,0.0,1.0,1
12YCH88RNS4VH3922X0PZYDDSW,2020,2,25.0,0.0,7.5,2
12YCH88RNS4VH3922X0PZYDDSW,2020,3,7.0,0.0,1.0,1
12YCH88RNS4VH3922X0PZYDDSW,2020,6,36.5,0.0,11.0,3
12YCH88RNS4VH3922X0PZYDDSW,2020,7,15.5,0.0,5.0,1
12YCH88RNS4VH3922X0PZYDDSW,2020,8,31.5,3.0,8.5,2
12YCH88RNS4VH3922X0PZYDDSW,2020,9,55.0,0.0,13.0,4
12YCH88RNS4VH3922X0PZYDDSW,2020,10,44.5,0.0,11.0,4
12YCH88RNS4VH3922X0PZYDDSW,2020,11,20.25,0.0,4.0,2
12YCH88RNS4VH3922X0PZYDDSW,2020,12,19.0,0.0,4.0,1
12YCH88RNS4VH3922X0PZYDDSW,2021,1,63.0,4.0,19.0,4
12YCH88RNS4VH3922X0PZYDDSW,2021,3,22.0,0.0,7.0,2
12YCH88RNS4VH3922X0PZYDDSW,2021,4,13.75,0.0,2.75,1
12YCH88RNS4VH3922X0PZYDDSW,2021,5,25.5,0.0,8.0,2
12YCH88RNS4VH3922X0PZYDDSW,2021,6,50.0,0.0,13.0,4
12YCH88RNS4VH3922X0PZYDDSW,2021,7,76.0,0.0,14.0,4
12YCH88RNS4VH3922X0PZYDDSW,2021,8,18.0,0.0,7.0,2
12YCH88RNS4VH3922X0PZYDDSW,2021,9,20.0,0.0,4.0,1
13BZ7J20W57DTVN81CKG2RBM74,2016,5,15.0,6.5,3.0,1
13BZ7J20W57DTVN81CKG2RBM74,2016,10,15.5,0.0,2.5,1
13HA5EZXR12NX1MREQH96H6Q3C,2019,9,12.5,0.0,2.0,1
13HA5EZXR12NX1MREQH96H6Q3C,2019,10,15.0,0.0,4.0,1
13HA5EZXR12NX1MREQH96H6Q3C,2019,11,14.0,0.0,2.0,1
13HA5EZXR12NX1MREQH96H6Q3C,2020,2,5.75,0.0,1.0,1
13HA5EZXR12NX1MREQH96H6Q3C,2022,5,29.5,0.0,5.0,1
13YDGFN3J96J1B97KPNJ6EMZ68,2020,2,12.0,0.0,2.0,1
13YDGFN3J96J1B97KPNJ6EMZ68,2020,5,14.0,0.0,2.5,1
13YDGFN3J96J1B97KPNJ6EMZ68,2020,7,25.0,0.0,4.0,2
13YDGFN3J96J1B97KPNJ6EMZ68,2020,8,50.5,0.0,0.0,1
13YDGFN3J96J1B97KPNJ6EMZ68,2021,7,8.5,0.0,1.0,1
13YDGFN3J96J1B97KPNJ6EMZ68,2022,7,21.5,0.0,5.0,1
149QAVSF3X52MK61MWCNPABWH4,2016,7,20.0,0.0,0.0,1
15JA7B87K16Y79K25ZXTC64AR8,2017,11,36.5,0.0,0.0,1
15JA7B87K16Y79K25ZXTC64AR8,2019,2,6.0,0.0,1.0,1
17QYQ1MJ6S3PQFZJTTR2GAXV0G,2020,1,6.5,0.0,1.0,1
185A38DF4X2A2QJS5B5S6B0TK0,2016,10,12.0,0.0,2.0,1
18AB54QK4N6M4WZ9XK7TDTWJ5R,2017,9,11.5,0.0,2.0,1
19PF23KGP90V2WCNKEPXT2AX5M,2016,8,17.0,0.0,0.0,1
1A38T9TW8913WR95QF8WSJKR2R,2018,9,12.5,0.0,3.0,1
1A38T9TW8913WR95QF8WSJKR2R,2018,11,20.0,0.0,6.0,1
1A38T9TW8913WR95QF8WSJKR2R,2019,8,39.0,0.0,9.0,2
1A38T9TW8913WR95QF8WSJKR2R,2019,9,11.0,0.0,2.0,1
1A38T9TW8913WR95QF8WSJKR2R,2019,11,27.0,0.0,6.0,2
1A38T9TW8913WR95QF8WSJKR2R,2020,1,6.5,0.0,1.0,1
1A3MB8XFF93SF27S9FQ8XSF86R,2022,5,11.5,0.0,2.0,1
1A3MB8XFF93SF27S9FQ8XSF86R,2022,11,20.0,0.0,4.0,2
1A3MB8XFF93SF27S9FQ8XSF86R,2023,6,32.0,0.0,8.0,1
1APH3WQKSS5WS69NQ747NDREPG,2022,9,12.75,0.0,3.0,1
1BN7Y3QXPN272M09N9AQQJJG08,2015,11,16.0,0.0,2.0,1
1BN7Y3QXPN272M09N9AQQJJG08,2016,4,30.0,0.0,4.0,1
1BN7Y3QXPN272M09N9AQQJJG08,2017,1,8.0,4.0,4.0,1
1CM0VNM81164WSN9B9ACYV2QVR,2017,5,17.0,0.0,2.0,1
1CM0VNM81164WSN9B9ACYV2QVR,2017,7,5.5,0.0,1.0,1
1CM0VNM81164WSN9B9ACYV2QVR,2018,3,25.5,0.0,4.0,1
1CM0VNM81164WSN9B9ACYV2QVR,2018,5,37.5,0.0,5.0,2
1CM0VNM81164WSN9B9ACYV2QVR,2018,10,45.5,0.0,8.5,2
1CM0VNM81164WSN9B9ACYV2QVR,2019,2,17.5,0.0,4.0,1
1CM0VNM81164WSN9B9ACYV2QVR,2019,6,30.0,0.0,5.0,1
1CM0VNM81164WSN9B9ACYV2QVR,2019,8,8.5,0.0,4.0,1
1CM0VNM81164WSN9B9ACYV2QVR,2019,9,43.0,0.0,12.0,2
1CM0VNM81164WSN9B9ACYV2QVR,2019,12,21.0,0.0,6.0,1
1CM0VNM81164WSN9B9ACYV2QVR,2020,1,50.0,0.0,9.0,2
1CM0VNM81164WSN9B9ACYV2QVR,2020,3,10.0,0.0,5.0,1
1CM0VNM81164WSN9B9ACYV2QVR,2020,4,44.75,0.0,9.0,2
1CM0VNM81164WSN9B9ACYV2QVR,2020,6,42.0,0.0,8.5,2
1CM0VNM81164WSN9B9ACYV2QVR,2020,7,55.0,0.0,10.0,2
1CM0VNM81164WSN9B9ACYV2QVR,2020,10,12.0,0.0,2.0,1
1CM0VNM81164WSN9B9ACYV2QVR,2020,12,5.0,1.5,2.0,1
1CM0VNM81164WSN9B9ACYV2QVR,2021,1,27.0,0.0,5.0,1
1CM0VNM81164WSN9B9ACYV2QVR,2021,2,68.2,0.0,14.2,3
1CM0VNM81164WSN9B9ACYV2QVR,2021,4,7.5,0.0,2.0,1
1CM0VNM81164WSN9B9ACYV2QVR,2021,6,32.5,0.0,5.0,1
1CM0VNM81164WSN9B9ACYV2QVR,2022,1,14.5,0.0,3.0,1
1CM0VNM81164WSN9B9ACYV2QVR,2022,6,17.0,0.0,4.0,1
1CM0VNM81164WSN9B9ACYV2QVR,2022,7,33.0,0.0,8.0,2
1CM0VNM81164WSN9B9ACYV2QVR,2022,9,57.0,0.0,12.0,2
1CM0VNM81164WSN9B9ACYV2QVR,2022,11,9.0,0.0,3.0,1
1CM0VNM81164WSN9B9ACYV2QVR,2022,12,31.5,0.0,9.0,2
1CM0VNM81164WSN9B9ACYV2QVR,2023,1,49.5,0.0,20.5,2
1CM0VNM81164WSN9B9ACYV2QVR,2023,2,119.0,0.0,25.5,3
1CM0VNM81164WSN9B9ACYV2QVR,2023,3,42.5,0.0,16.5,2
1CM0VNM81164WSN9B9ACYV2QVR,2023,4,24.0,0.0,8.0,1
1CM0VNM81164WSN9B9ACYV2QVR,2023,5,28.0,0.0,10.5,2
1CM0VNM81164WSN9B9ACYV2QVR,2023,6,67.0,0.0,18.0,3
1CM0VNM81164WSN9B9ACYV2QVR,2023,7,51.5,0.0,8.0,2
1CPWJPHMQH3BMQ1HT19Y5J9PBG,2016,8,22.25,0.0,10.0,1
1D0GE8HJATMXGAC9M2346YGFS8,2023,6,20.5,0.0,3.0,1
1DMJXZDQM51C0WWF94S43GQTD0,2018,9,10.0,0.0,0.0,1
1E60WWECX80Q2FQMF6SRHJK3F4,2023,6,48.0,0.0,9.0,1
1EG28M79P97TWGXYWK7A8TWG1G,2016,3,7.0,0.0,1.0,1
1EZAXQBRBS12K8C15JZCWXR3MR,2020,8,27.0,0.0,4.0,1
1EZXJ6FZ4S0MEMV45SP9KM69H8,2016,12,24.0,0.0,3.0,1
1F5XPEY92N71B04BSS875FWZNR,2022,2,109.5,0.0,20.0,1
1GAM88J3HD49CJCYRHPZY1FN9M,2018,3,24.5,0.0,2.0,2
1GAM88J3HD49CJCYRHPZY1FN9M,2018,4,19.0,0.0,4.0,1
1GAM88J3HD49CJCYRHPZY1FN9M,2019,7,31.0,0.0,6.0,2
1GAM88J3HD49CJCYRHPZY1FN9M,2020,10,15.0,0.0,4.0,1
1GAM88J3HD49CJCYRHPZY1FN9M,2021,7,97.75,0.0,16.0,1
1GAM88J3HD49CJCYRHPZY1FN9M,2021,12,14.0,0.0,2.5,1
1GAM88J3HD49CJCYRHPZY1FN9M,2022,10,28.25,0.0,6.0,1
1HGP69D1KN7DK00PF3WJ9RKT7M,2020,8,6.5,0.0,1.0,1
1J3X9EGX4N31B3QRJ27R9335RW,2021,12,6.0,0.0,1.5,1
1J3X9EGX4N31B3QRJ27R9335RW,2022,2,38.0,0.0,5.0,2
1J3X9EGX4N31B3QRJ27R9335RW,2022,3,30.0,0.0,2.5,1
1J3X9EGX4N31B3QRJ27R9335RW,2022,4,21.0,0.0,2.0,1
1J3X9EGX4N31B3QRJ27R9335RW,2022,5,13.5,4.0,2.0,1
1J3X9EGX4N31B3QRJ27R9335RW,2022,6,45.5,0.0,3.75,3
1J3X9EGX4N31B3QRJ27R9335RW,2022,8,6.0,0.0,1.0,1
1J3X9EGX4N31B3QRJ27R9335RW,2022,9,31.0,0.0,3.5,2
1J3X9EGX4N31B3QRJ27R9335RW,2022,10,15.5,0.0,2.0,1
1J3X9EGX4N31B3QRJ27R9335RW,2022,12,30.0,0.0,5.0,1
1J3X9EGX4N31B3QRJ27R9335RW,2023,1,27.0,0.0,3.5,2
1J3X9EGX4N31B3QRJ27R9335RW,2023,3,13.0,0.0,2.0,1
1J3X9EGX4N31B3QRJ27R9335RW,2023,7,10.0,0.0,2.0,1
1J3X9EGX4N31B3QRJ27R9335RW,2023,8,18.0,0.0,2.0,1
1J3X9EGX4N31B3QRJ27R9335RW,2023,9,19.5,0.0,3.0,1
1J3X9EGX4N31B3QRJ27R9335RW,2023,10,14.0,0.0,3.0,1
1JXMQCB6756AHBJNG6ZXZND148,2020,9,14.0,0.0,2.0,1
